Policy: Random
Number of Virtual Page: 20
Number of Physical Frame: 10
-----Trace-----
Reference 13
Reference 12
Reference 16
Reference 3
Reference 17
Reference 14
Reference 12
Reference 16
Reference 8
Reference 1
Reference 12
Reference 7
Reference 6
Reference 13
Reference 16
Reference 18
Reference 18
Reference 14
Reference 1
Reference 5
Reference 1
Reference 15
Reference 3
Reference 9
Reference 0
Reference 14
Reference 12
Reference 11
Reference 19
Reference 7
Reference 0
Reference 14
Reference 3
Reference 16
Reference 12
Reference 12
Reference 19
Reference 6
Reference 1
Reference 15
Reference 16
Reference 15
Reference 17
Reference 6
Reference 1
Reference 16
Reference 12
Reference 16
Reference 5
Reference 17
Reference 12
Reference 6
Reference 18
Reference 18
Reference 3
Reference 14
Reference 10
Reference 3
Reference 0
Reference 3
Reference 7
Reference 7
Reference 9
Reference 4
Reference 1
Reference 18
Reference 13
Reference 2
Reference 18
Reference 7
Reference 1
Reference 1
Reference 7
Reference 17
Reference 5
Reference 17
Reference 16
Reference 18
Reference 7
Reference 10
Reference 3
Reference 14
Reference 5
Reference 17
Reference 18
Reference 11
Reference 17
Reference 17
Reference 0
Reference 4
Reference 19
Reference 14
Reference 8
Reference 10
Reference 15
Reference 0
Reference 6
Reference 8
Reference 10
Reference 1
Reference 4
Reference 2
Reference 17
Reference 0
Reference 6
Reference 4
Reference 0
Reference 4
Reference 8
Reference 14
Reference 13
Reference 16
Reference 12
Reference 19
Reference 3
Reference 13
Reference 2
Reference 8
Reference 0
Reference 5
Reference 2
Reference 18
Reference 11
Reference 7
Reference 19
Reference 7
Reference 13
Reference 8
Reference 12
Reference 9
Reference 13
Reference 13
Reference 6
Reference 13
Reference 6
Reference 5
Reference 9
Reference 12
Reference 7
Reference 19
Reference 14
Reference 13
Reference 7
Reference 6
Reference 9
Reference 0
Reference 4
Reference 6
Reference 8
Reference 13
Reference 9
Reference 13
Reference 0
Reference 6
Reference 4
Reference 6
Reference 2
Reference 3
Reference 3
Reference 6
Reference 2
Reference 4
Reference 9
Reference 7
Reference 11
Reference 4
Reference 10
Reference 18
Reference 11
Reference 16
Reference 13
Reference 13
Reference 0
Reference 0
Reference 6
Reference 11
Reference 7
Reference 7
Reference 3
Reference 18
Reference 11
Reference 18
Reference 18
Reference 9
Reference 18
Reference 16
Reference 7
Reference 12
Reference 8
Reference 11
Reference 17
Reference 11
Reference 10
Reference 16
Reference 8
Reference 10
Reference 3
Reference 6
Reference 4
Reference 16
Reference 5
Reference 15
Reference 0
Reference 8
Reference 7
Reference 10
Reference 17
Reference 8
Reference 0
Reference 9
Reference 14
Reference 17
Reference 13
Reference 12
Reference 18
Reference 18
Reference 14
Reference 0
Reference 8
Reference 9
Reference 14
Reference 4
Reference 8
Reference 13
Reference 4
Reference 9
Reference 15
Reference 18
Reference 9
Reference 0
Reference 1
Reference 15
Reference 4
Reference 6
Reference 7
Reference 10
Reference 19
Reference 1
Reference 14
Reference 8
Reference 6
Reference 2
Reference 1
Reference 19
Reference 15
Reference 5
Reference 18
Reference 11
Reference 4
Reference 11
Reference 1
Reference 17
Reference 13
Reference 17
Reference 7
Reference 11
Reference 2
Reference 6
Reference 12
Reference 12
Reference 7
Reference 5
Reference 19
Reference 14
Reference 11
Reference 16
Reference 19
Reference 7
Reference 0
Reference 3
Reference 2
Reference 12
Reference 12
Reference 12
Reference 18
Reference 16
Reference 19
Reference 13
Reference 4
Reference 14
Reference 19
Reference 10
Reference 7
Reference 2
Reference 11
Reference 12
Reference 7
Reference 0
Reference 10
Reference 11
Reference 11
Reference 17
Reference 12
Reference 15
Reference 5
Reference 3
Reference 9
Reference 18
Reference 15
Reference 18
Reference 3
Reference 17
Reference 5
Reference 9
Reference 6
Reference 14
Reference 11
Reference 8
Reference 17
Reference 17
Reference 10
Reference 12
Reference 4
Reference 9
Reference 18
Reference 10
Reference 18
Reference 7
Reference 12
Reference 0
Reference 19
Reference 19
Reference 7
Reference 14
Reference 2
Reference 2
Reference 16
Reference 0
Reference 0
Reference 15
Reference 13
Reference 0
Reference 15
Reference 5
Reference 0
Reference 6
Reference 17
Reference 14
Reference 3
Reference 0
Reference 16
Reference 9
Reference 3
Reference 11
Reference 14
Reference 10
Reference 7
Reference 2
Reference 2
Reference 19
Reference 15
Reference 7
Reference 1
Reference 19
Reference 2
Reference 7
Reference 11
Reference 16
Reference 0
Reference 5
Reference 14
Reference 9
Reference 7
Reference 13
Reference 0
Reference 12
Reference 8
Reference 5
Reference 18
Reference 13
Reference 4
Reference 12
Reference 15
Reference 16
Reference 16
Reference 1
Reference 7
Reference 16
Reference 0
Reference 0
Reference 8
Reference 13
Reference 3
Reference 3
Reference 2
Reference 1
Reference 8
Reference 6
Reference 18
Reference 12
Reference 10
Reference 1
Reference 7
Reference 8
Reference 11
Reference 11
Reference 14
Reference 1
Reference 14
Reference 13
Reference 0
Reference 5
Reference 1
Reference 12
Reference 15
Reference 11
Reference 17
Reference 11
Reference 16
Reference 11
Reference 3
Reference 3
Reference 8
Reference 14
Reference 8
Reference 6
Reference 9
Reference 11
Reference 0
Reference 0
Reference 19
Reference 7
Reference 17
Reference 10
Reference 14
Reference 2
Reference 6
Reference 15
Reference 11
Reference 12
Reference 7
Reference 9
Reference 5
Reference 6
Reference 9
Reference 12
Reference 1
Reference 2
Reference 13
Reference 16
