Policy: LRU
Number of Virtual Page: 20
Number of Physical Frame: 5
-----Trace-----
Reference 0
Reference 1
Reference 2
Reference 3
Reference 5
Reference 4
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
Reference 0
Reference 1
Reference 2
Reference 3
Reference 4
Reference 5
