Miss, 0, -1>>-1, 0<<-1
Miss, 1, -1>>-1, 1<<-1
Miss, 2, -1>>-1, 2<<-1
Miss, 3, -1>>-1, 3<<-1
Miss, 4, -1>>-1, 5<<-1
Miss, 0, 0>>0, 4<<-1
Miss, 1, 1>>1, 0<<0
Miss, 2, 2>>0, 1<<1
Miss, 3, 3>>1, 2<<0
Miss, 4, 5>>0, 3<<1
Hit, 4=>0
Miss, 1, 0>>1, 5<<0
Miss, 2, 1>>0, 0<<1
Miss, 3, 2>>1, 1<<0
Miss, 4, 3>>0, 2<<1
Miss, 0, 4>>1, 3<<0
Miss, 1, 5>>0, 4<<1
Miss, 2, 0>>1, 5<<0
Miss, 3, 1>>0, 0<<1
Miss, 4, 2>>1, 1<<0
Miss, 0, 3>>0, 2<<1
Miss, 1, 4>>1, 3<<0
Miss, 2, 5>>0, 4<<1
Miss, 3, 0>>1, 5<<0
Miss, 4, 1>>0, 0<<1
Miss, 0, 2>>1, 1<<0
Miss, 1, 3>>0, 2<<1
Miss, 2, 4>>1, 3<<0
Miss, 3, 5>>0, 4<<1
Miss, 4, 0>>1, 5<<0
Miss, 0, 1>>0, 0<<1
Miss, 1, 2>>1, 1<<0
Miss, 2, 3>>0, 2<<1
Miss, 3, 4>>1, 3<<0
Miss, 4, 5>>0, 4<<1
Miss, 0, 0>>1, 5<<0
Miss, 1, 1>>0, 0<<1
Miss, 2, 2>>1, 1<<0
Miss, 3, 3>>0, 2<<1
Miss, 4, 4>>1, 3<<0
Miss, 0, 5>>0, 4<<1
Miss, 1, 0>>1, 5<<0
Miss, 2, 1>>0, 0<<1
Miss, 3, 2>>1, 1<<0
Miss, 4, 3>>0, 2<<1
Miss, 0, 4>>1, 3<<0
Miss, 1, 5>>0, 4<<1
Miss, 2, 0>>1, 5<<0
Miss, 3, 1>>0, 0<<1
Miss, 4, 2>>1, 1<<0
Miss, 0, 3>>0, 2<<1
Miss, 1, 4>>1, 3<<0
Miss, 2, 5>>0, 4<<1
Miss, 3, 0>>1, 5<<0
Page Fault Rate: 0.981
