Policy: FIFO
Number of Virtual Page: 20
Number of Physical Frame: 5
-----Trace-----
Reference 0
Reference 0
Reference 0
Reference 1
Reference 1
Reference 1
Reference 2
Reference 3
Reference 4
Reference 2
Reference 2
Reference 2
Reference 4
Reference 4
Reference 4
Reference 3
Reference 0
Reference 1
Reference 0
Reference 3
Reference 0
Reference 4
Reference 0
Reference 10
Reference 0
Reference 1
Reference 2
Reference 0
Reference 1
Reference 3
Reference 4
Reference 0
Reference 1
Reference 3
Reference 11
Reference 0
Reference 1
Reference 11
Reference 3
Reference 12
Reference 0
Reference 1
Reference 0
Reference 3
Reference 13
Reference 0
Reference 0
Reference 1
Reference 4
Reference 14
Reference 12
Reference 13
Reference 12
Reference 14
Reference 12
Reference 12
Reference 12
Reference 12
Reference 13
Reference 14
Reference 0
Reference 16
Reference 16
Reference 17
Reference 0
Reference 16
Reference 16
Reference 16
Reference 0
Reference 17
Reference 16
Reference 14
Reference 16
Reference 16
Reference 0
Reference 5
Reference 4
