Policy: FIFO
Number of Virtual Page: 25
Number of Physical Frame: 5
-----Trace-----
Reference 0
Reference 4
Reference 8
Reference 12
Reference 16
Reference 20
Reference 8
Reference 4
Reference 2
Reference 0
Reference 20
Reference 20
Reference 0
Reference 4
Reference 8
Reference 12
Reference 4
Reference 0
Reference 4
Reference 8
Reference 12
Reference 16
Reference 20
Reference 6
Reference 20
Reference 8
Reference 12
Reference 16
Reference 12
Reference 20
Reference 4
Reference 0
Reference 20
Reference 6
Reference 20
Reference 8
Reference 12
Reference 16
Reference 12
Reference 20
Reference 4
Reference 0
Reference 6
Reference 0
Reference 4
Reference 8
Reference 12
Reference 16
Reference 0
Reference 4
Reference 6
Reference 6
Reference 20
Reference 8
Reference 12
Reference 16
Reference 12
Reference 20
Reference 4
Reference 0
Reference 6
Reference 0
Reference 0
Reference 4
Reference 8
Reference 12
Reference 16
Reference 0
Reference 4
Reference 8
Reference 12
Reference 16
Reference 20
Reference 20
Reference 20
Reference 8
Reference 0
Reference 16
Reference 20
Reference 20
Reference 20
Reference 8
Reference 0
Reference 20
Reference 20
Reference 20
Reference 8
Reference 12
Reference 16
Reference 20
Reference 4
Reference 8
Reference 20
Reference 8
Reference 12
Reference 16
Reference 20
Reference 8
Reference 16
Reference 16
Reference 12
Reference 0
Reference 6
Reference 20
Reference 8
Reference 12
Reference 16
Reference 12
Reference 20
Reference 4
Reference 0
Reference 4
Reference 18
Reference 6
Reference 0
Reference 4
Reference 12
Reference 16
Reference 8
Reference 6
Reference 0
Reference 4
Reference 16
Reference 20
Reference 12
Reference 16
Reference 20
Reference 18
Reference 6
Reference 0
Reference 4
Reference 18
Reference 6
Reference 0
Reference 4
Reference 12
Reference 16
Reference 8
Reference 8
Reference 12
Reference 8
Reference 12
Reference 16
Reference 20
Reference 18
Reference 6
Reference 0
Reference 4
Reference 16
Reference 20
Reference 8
Reference 12
Reference 16
Reference 4
Reference 18
Reference 6
Reference 0
Reference 4
Reference 12
Reference 16
Reference 8
Reference 20
Reference 18
Reference 6
Reference 0
Reference 4
Reference 18
Reference 6
Reference 0
Reference 4
Reference 12
Reference 16
Reference 8
Reference 12
Reference 16
Reference 20
Reference 18
Reference 6
Reference 0
Reference 4
Reference 12
Reference 6
Reference 4
Reference 0
Reference 0
Reference 4
Reference 12
Reference 16
Reference 16
Reference 12
Reference 6
Reference 4
Reference 0
Reference 4
Reference 8
Reference 20
Reference 8
Reference 12
Reference 16
Reference 20
Reference 8
Reference 16
Reference 16
Reference 12
Reference 0
Reference 4
Reference 8
Reference 12
Reference 16
Reference 20
Reference 18
Reference 6
Reference 0
Reference 4
Reference 12
Reference 16
Reference 16
Reference 12
Reference 6
Reference 4
Reference 0
Reference 8
